NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23	33.311	44.14	53.647	61.202	71.075	77.402	82.528	87.695	91.447	94.882	99.142	102.48	105.68	109.51	112.16	114.51	117.39	119.62	121.62	124.03	125.8	127.35	129.1	130.53	131.76	133.24	134.46	135.56	136.52	137.41	138.17	139	139.63	140.11	140.74	141.38	141.84	142.15	142.37	142.19	141.8	140.93	140.72	140.13	139.05	138.56	138.18	136.98	135.9	134.67	132.19	129.38	124.83	122.25	118	113.27	108.37	104.38	98.435	94.515	88.248	86.333	81.828	73.558	69.383	49.4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.967	38.05	43.751	48.128	52.371	56.161	59.251	64.343	69.153	73.88	78.276	81.768	84.616	87.868	90.444	92.656	95.275	97.55	99.43	101.98	104.26	106.46	108.42	110.31	112.37	114.14	115.56	117.96	119.8	120.65	122.91	124.8	125.76	128.19	130.18	131.15	133.42	135.59	136.51	138.51	140.04	140.75	140.84	140.66	140.18	139.28	137.44	135.79	133.66	130.53	127.3	122.64	116.71	110.53	104.93	99.004	91.4	79.952	69.107	44.3	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.7	23.267	26.046	29.996	34.783	39.116	44.595	49.592	53.932	57.891	61.38	64.49	67.431	70.725	73.704	76.693	80.22	83.709	86.942	91.472	95.807	99.597	104.36	108.93	112.75	117.74	122.36	127.37	133.32	138.99	144.6	151.31	156.7	161.95	167.5	172.19	176.61	181.5	185.8	189.67	193.45	197.03	200.47	203.67	206.71	209.6	212.37	214.57	216.22	217.45	218.13	218.21	217.71	217.17	216.62	215.56	214.01	212.71	210.6	207.94	204.67	200.5	196.02	190.16	182.38	174.06	166.79	159.06	150.23	140.31	131.04	122.79	112.82	106.2	98.6
NaN	NaN	NaN	19.9	19.844	22.657	24.663	27.758	30.692	33.217	35.437	38.123	40.488	42.755	45.447	48.302	50.975	53.908	56.782	59.462	62.393	65.282	67.975	70.388	72.772	75.252	77.257	79.5	82.553	85.617	89.005	93.338	97.722	101.82	105.77	109.49	112.73	115.24	118.04	120.49	122.02	124.08	125.88	127.39	129.38	131.08	132.72	134.48	135.57	136.93	138.68	139.03	140.09	141.69	142.01	141.88	142.63	144	142.47	140.62	140.52	139.37	137.41	136.2	136.4	134.21	131.16	128.47	125.99	121.3	119.12	115.2	110.28	107.09	101.92	96.467	91.63	85.097	79.89	74.417	68.37	64.88	59.722	60.9	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.567	26.434	34.65	40.639	47.402	52.968	57.872	62.28	67.742	72.236	76.1	79.944	83.347	86.831	90.129	93.399	96.904	100.08	103.01	106.66	109.64	112.27	115.86	118.91	121.56	125.04	128.15	130.94	134.24	137.19	139.87	142.81	145.3	147.99	150.25	152.29	154.52	156.18	157.35	158.98	160.09	160.78	161.9	162.41	162.73	162.96	162.92	162.97	162.39	161.77	161.45	160.22	158.73	157.92	156.38	154.51	152.94	150.82	148.67	145.84	142.89	140.4	137.34	133.78	129.84	125.03	119.74	113.82	107.33	100.78	93.671	83.408	73.82	58.25
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.62	26.623	29	30.982	33.342	35.973	38.321	40.556	42.766	45.172	47.412	49.457	51.829	53.936	55.931	58.35	60.645	62.842	65.2	68.007	70.361	73.016	76.022	78.79	81.5	84.66	87.566	90.391	93.262	95.662	98.138	100.27	102.16	104.28	106.01	107.52	109.53	110.91	112.26	114.05	115.24	116.29	117.77	119.06	120.4	121.68	122.84	123.76	124.53	125.08	125.75	126.06	126.23	126.17	125.93	125.38	124.58	123.39	121.93	120.1	118.16	116.14	113.84	110.88	107.57	103.92	99.689	94.477	88.34	81.47	74.88	66.696	59.428	49.9	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.367	27.183	31.733	36.086	41.344	47.494	52.244	56.757	60.444	63.147	66.042	69.285	71.745	74.483	77.329	79.683	82.308	84.869	87.289	90.121	92.889	95.511	98.67	101.47	104.54	107.77	110.96	114.08	117.4	120.52	123.87	126.99	130.18	133.68	136.78	139.87	143.43	146.63	149.56	152.77	155.48	157.67	160.01	161.99	163.4	164.92	166.09	166.68	167.17	167.29	166.98	166.54	165.62	163.83	161.88	159.3	156.47	153.83	150.23	147.01	142.73	136.92	129.95	122.37	113
20.555	22.415	24.82	27.29	29.905	32.375	34.525	36.555	38.485	40.523	42.473	44.52	46.623	48.603	50.143	51.64	52.998	54.125	55.325	56.437	57.675	58.93	60.165	61.41	62.685	63.89	65.28	66.835	68.43	70.23	71.89	73.345	74.71	75.92	77.005	78.27	79.745	81.285	82.945	84.65	86.35	88.1	89.955	91.8	93.84	95.955	97.93	100.01	102.13	104.19	106.5	108.9	111.17	113.46	115.63	117.48	119	120.15	120.89	121.17	121.01	120.38	119.38	118.08	116.44	114.34	111.93	109.25	106.35	103.17	99.88	96.385	92.11	87.57	82.875	77.68	72.535	67.835	62.542	57.66	51.95	44.93	37.835	29.758	22.8	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.067	30.517	35.276	42.382	51.689	62.054	72.843	83.837	91.385	97.265	104.82	109.2	113.56	119.34	122.9	125.82	130.55	134.07	137.27	141.08	144.53	147.73	151.08	153.67	156.55	159.11	160.74	161.67	162.71	163.06	162.41	162.27	161.31	160.12	158.32	156.17	154.14	151.62	147.89	143.95	139.33	133.68	127.31	119.05	112.47	105.43	100.25	96.69	97.367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.8	36.656	36.962	37.912	38.862	40.233	41.953	45.496	48.616	51.692	54.745	57.577	60.563	63.4	66.493	69.51	72.343	75.174	77.982	80.469	82.848	85.268	87.644	89.749	92.147	94.365	96.231	98.686	101.02	103	105.83	108.42	109.87	112.41	114.9	116.8	119.05	121.86	123.77	125.58	127.2	129.09	130.26	130.89	131.76	132.15	131.82	131.6	131.29	130.29	129.25	127.84	126.13	124.33	122.23	120.53	118.25	115.64	112.52	108.7	103.8	99.01	93.731	88.595	83.568	77.851	71.609	65.157	57.147	48.777	40.443	31.5	NaN
