36.39	44.97	52.94	60.35	67.22	73.59	79.49	84.95	89.99	94.64	98.93	102.89	106.53	109.87	112.95	115.78	118.37	120.75	122.94	124.94	126.78	128.46	130.01	131.42	132.71	133.9	134.98	135.96	136.85	137.66	138.38	139.02	139.59	140.07	140.47	140.78	141.01	141.15	141.19	141.12	140.94	140.64	140.21	139.64	138.91	138.01	136.92	135.64	134.14	132.4	130.41	128.14	125.58	122.7	119.47	115.88	111.89	107.49	102.63	97.3	91.45	85.07	78.11	70.55	62.34	53.45
3.02	12.34	20.89	28.71	35.86	42.4	48.37	53.83	58.82	63.4	67.59	71.44	74.99	78.28	81.34	84.19	86.88	89.42	91.84	94.16	96.41	98.59	100.74	102.85	104.94	107.03	109.11	111.19	113.27	115.36	117.45	119.53	121.6	123.66	125.68	127.66	129.58	131.42	133.16	134.79	136.26	137.57	138.67	139.54	140.14	140.45	140.41	139.98	139.14	137.83	136	133.6	130.59	126.91	122.5	117.31	111.27	104.32	96.4	87.43	77.36	66.11	53.6	39.75	24.5	7.75
51.49	55.17	58.99	62.94	67.02	71.22	75.52	79.94	84.44	89.04	93.71	98.45	103.26	108.11	113	117.93	122.88	127.83	132.79	137.73	142.64	147.52	152.35	157.12	161.81	166.42	170.92	175.31	179.57	183.68	187.63	191.41	195	198.38	201.54	204.46	207.13	209.52	211.63	213.42	214.9	216.02	216.79	217.17	217.16	216.72	215.84	214.51	212.69	210.37	207.53	204.14	200.19	195.66	190.51	184.73	178.29	171.17	163.35	154.81	145.51	135.44	124.57	112.87	100.32	86.89
61.3	64.4	67.54	70.71	73.89	77.09	80.28	83.47	86.65	89.8	92.93	96.02	99.06	102.06	105	107.87	110.68	113.4	116.04	118.59	121.04	123.38	125.61	127.73	129.72	131.58	133.3	134.88	136.31	137.58	138.69	139.64	140.42	141.01	141.43	141.65	141.68	141.51	141.13	140.55	139.75	138.72	137.48	136	134.29	132.33	130.14	127.69	124.99	122.03	118.81	115.33	111.57	107.54	103.23	98.64	93.76	88.59	83.12	77.36	71.3	64.93	58.26	51.27	43.97	36.35
65.31	69.84	74.22	78.48	82.61	86.62	90.51	94.29	97.97	101.54	105.01	108.39	111.67	114.87	117.97	120.98	123.91	126.76	129.51	132.18	134.76	137.25	139.66	141.97	144.18	146.3	148.31	150.23	152.03	153.72	155.29	156.73	158.05	159.23	160.27	161.16	161.89	162.45	162.85	163.05	163.07	162.89	162.49	161.87	161.02	159.92	158.57	156.94	155.04	152.84	150.34	147.51	144.35	140.83	136.95	132.69	128.02	122.95	117.44	111.49	105.06	98.16	90.75	82.81	74.34	65.3
45.32	47.66	50	52.35	54.71	57.07	59.45	61.83	64.23	66.63	69.04	71.45	73.87	76.3	78.72	81.14	83.56	85.97	88.37	90.75	93.11	95.44	97.75	100.02	102.26	104.44	106.58	108.65	110.66	112.6	114.45	116.22	117.89	119.45	120.9	122.22	123.42	124.47	125.36	126.09	126.65	127.02	127.19	127.16	126.9	126.4	125.66	124.66	123.39	121.82	119.95	117.77	115.26	112.39	109.17	105.56	101.56	97.15	92.31	87.03	81.28	75.05	68.32	61.07	53.29	44.95
19.46	24.7	29.63	34.28	38.68	42.85	46.82	50.6	54.22	57.71	61.06	64.32	67.49	70.58	73.62	76.61	79.57	82.5	85.43	88.35	91.27	94.2	97.14	100.11	103.09	106.09	109.11	112.15	115.21	118.29	121.37	124.46	127.54	130.62	133.67	136.69	139.67	142.59	145.44	148.21	150.87	153.42	155.82	158.07	160.14	162.01	163.66	165.05	166.17	166.98	167.47	167.6	167.33	166.64	165.5	163.86	161.71	158.99	155.67	151.71	147.08	141.72	135.61	128.69	120.92	112.26
56.69	58.11	59.54	60.98	62.45	63.94	65.45	66.99	68.56	70.16	71.79	73.45	75.13	76.85	78.59	80.35	82.14	83.94	85.76	87.58	89.41	91.25	93.07	94.89	96.68	98.45	100.19	101.88	103.53	105.11	106.63	108.07	109.41	110.66	111.79	112.8	113.67	114.39	114.95	115.32	115.5	115.48	115.23	114.74	113.99	112.97	111.65	110.03	108.07	105.77	103.1	100.05	96.58	92.69	88.34	83.52	78.2	72.36	65.98	59.04	51.5	43.34	34.54	25.07	14.91	4.02
-75.21	-63.16	-51.43	-40.03	-28.95	-18.19	-7.74	2.39	12.21	21.72	30.92	39.82	48.41	56.69	64.67	72.34	79.71	86.77	93.53	99.98	106.12	111.96	117.48	122.7	127.6	132.18	136.45	140.4	144.03	147.32	150.3	152.93	155.24	157.2	158.82	160.09	161.01	161.57	161.77	161.6	161.06	160.13	158.83	157.13	155.04	152.54	149.63	146.3	142.55	138.36	133.74	128.66	123.13	117.14	110.67	103.72	96.27	88.33	79.87	70.89	61.39	51.34	40.74	29.58	17.85	5.53
47.44	49.81	52.24	54.72	57.24	59.81	62.42	65.06	67.73	70.43	73.14	75.87	78.61	81.35	84.09	86.82	89.54	92.23	94.9	97.53	100.12	102.66	105.14	107.56	109.91	112.18	114.35	116.44	118.41	120.27	122.01	123.62	125.09	126.4	127.55	128.53	129.33	129.94	130.35	130.55	130.52	130.25	129.74	128.97	127.94	126.62	125.01	123.09	120.85	118.28	115.37	112.11	108.47	104.45	100.03	95.2	89.95	84.25	78.1	71.49	64.39	56.79	48.68	40.04	30.85	21.11
